screen_name,following,followers,favourites_count,verified
majocuestah,807,202,952,False
photopolanco,363,176,4900,False
Erik97Erika,159,74,782,False
amarriott84,192,5531,882,False
nicolmercy_twt,589,154,4240,False
AndreaRonquill,845,132,660,False
JcStrada,1102,1170,1395,False
FrankMario10,640,276,841,False
MinturZonal5,1163,7696,10375,False
Marinabxa,858,338,1615,False
MeDicenFlaca10,1031,1679,37703,False
GabsRamirezT,235,232,1732,False
cesarbaldeonv,787,411,1300,False
mariareina_ec,41,957,390,False
brunojuank,693,481,9349,False
FelipeColino,59,166,533,False
Keving_B,670,493,5883,False
Julsa71_,2454,458,1801,False
lacamaragye,8720,37003,6160,True
MarjoriePincay,330,1101,867,False
AdrianCeman,57,44,474,False
GonzaloSalasP2,97,31,512,False
aries_0891,262,283,50,False
GruasMartinezGy,32,176,16,False
JuankECU,605,437,3297,False
hxblich,126,1390,27058,False
anguelito1987,2086,471,1446,False
FernandoAmaya09,1756,218,10250,False
HusseinGuerrero,407,596,774,False
Balder_el_Brav,218,266,2766,False
AnaKbzasKlaere,251,462,592,False
phylliszurita,365,120,579,False
ofimosqu,90,50,45,False
nat_real,675,1558,1057,False
_gracielaramire,100,690,6711,False
dnseter,106,987,3452,False
stalyn_fabian89,1374,1095,447,False
yefroi,303,195,1028,False
cruisingguayak1,172,2225,7,False
mariaveronicabo,322,272,16680,False
guimanca,794,11118,808,False
Ivonne_Montufar,938,302,725,False
kevin_vera,2536,1258,424,False
medinaecuador,1445,197,642,False
Charitovergara,672,1225,5255,False
ChrisJuradoMez,386,1724,925,False
sanzamsol,666,590,33973,False
jorgevillacrese,723,1457,4087,False
nmosqueraa,710,4098,124722,False
RQG3,259,314,1626,False
chinazul5,850,652,3851,False
bebeto231075,148,88,504,False
EliVk1,3428,589,7846,False
elpatitooreja,179,126,156,False
MelanyNavia97,859,664,8085,False
_PedroGarces,411,423,928,False
kevin95crow,148,163,1472,False
jorgeazul88,703,480,1648,False
Giannino01,989,623,744,False
pronadav,110,43,43,False
HectorYgonet,169,3578,7937,False
marcoszambranoc,406,194,3492,False
Jessael_,503,625,4377,False
fbastej,223,63,2305,False
Pamitazu,596,134,633,False
Evelyn_OrralaEC,1030,13786,2169,False
carolmorbioni,106,188,586,False
dftm95,198,379,6093,False
negra_figueroa4,449,189,787,False
Asgranizo5,197,122,2166,False
Alejo_CSE_,1021,416,11011,False
VALKYRIAMJ,508,537,2011,False
DannyCerezo2,414,36,484,False
FabianRealpe,1039,1445,10997,False
danna_pesantes,60,34,41,False
superk800radio,976,59287,6723,False
C_Vasquito,581,202,962,False
ricardo_velezs,205,164,12092,False
milecano99,96,109,2194,False
PanCordova,890,1311,8367,False
Bryan1925barce,1188,316,9005,False
MarquiMark,145,135,3889,False
lulajackie1,1187,155,5624,False
bolivarguzman,898,581,5843,False
DanielBalarezo,755,532,800,False
kkollektion,369,1186,4804,False
NathiTowers,1045,386,4587,False
joseluis_salsa,842,473,26784,False
RadioDibluFM,478,85263,1628,True
JoelZambranoT,614,264,2222,False
ggutierrez53,53,152,269,False
KataMatheus,1337,772,6750,False
DaniGuerrero_C,541,714,9892,False
danielpenal,258,99,253,False
lindao_ivan,181,92,93,False
Originalirene,156,263,4008,False
MetroidSoldier,959,195,3586,False
AntonioBravoC1,582,363,6538,False
TaurusXavier,416,323,14750,False
jacquelo18,829,83,3684,False
_CvLr_,498,825,11480,False
ROMAEC,908,589,5810,False
leobilmark22,6259,9749,7876,False
dayitapozov,558,892,1185,False
cariturestrepoa,523,189,8851,False
JorgeLTrivino,1236,233,3504,False
anromjim4902,78,19,1723,False
veriloy,305,283,1170,False
PauloLimabo,108,22,37,False
DaniMorla24,379,143,643,False
josuem_ch,960,379,70,False
BernalVivar,175,15,18,False
anitamser,370,71,55,False
julio_francog,497,3647,368840,False
karlink1075,299,85,9061,False
ChristopherVH4,102,3,2,False
DTP2028,226,248,7781,False
ByronAlmeiida,319,1217,6926,False
GamusaAlcivar,256,446,1096,False
juankipa,2282,845,2250,False
jabriz65,913,1138,1002,False
ChrystianQ,648,120,597,False
CONTRIBUTACION,310,205,102,False
iamangelivan,159,88,8523,False
jamilet95280850,77,7,50,False
Bryan_roman4,239,368,824,False
MDanielaCarrera,732,1308,1956,False
saveexito,961,200,3901,False
dannymoraloaiza,59,19,28,False
oswaldotorres99,9,1,0,False
rgoldbaum,1628,1534,1718,False
amanssur,911,1402,1507,False
castroruthmp,552,122,16913,False
VictorDaniel_JD,432,137,3119,False
Barcejaime96,69,75,295,False
ORLANDOCARRILL3,198,502,1371,False
josega3,201,78,211,False
carroyos,516,13750,259,False
Frededu3,414,1853,33352,False
trinexus2002,314,320,170,False
johivv,266,872,7216,False
williamsegura7,220,72,2974,False
vecinaquerida,466,109,4435,False
WalterAlarconS,184,248,1017,False
LilyCarrera_B,529,604,2826,False
GlobalSportPlay,145,17,7,False
ricardovasqueze,98,750,3078,False
krjossue98,163,38,3821,False
kathmatute,167,406,3111,False
dnra10,502,475,592,False
erinandrea17,945,525,2198,False
VicentepaulAlci,5002,1850,10683,False
vicentecabreras,1547,511,112,False
israguitar,1240,438,985,False
vivianamedinav,359,211,515,False
YoSoyJenYtu,551,1114,1468,False
lozano_narcisa,243,24,125,False
Sugar_lips_albo,4618,4154,536,False
DavoBravo14,337,375,729,False
brunotenoriomi,685,171,177,False
83Bluesman,562,440,2515,False
PasivoAguantad3,1479,1545,13040,False
2_k00L_4_Sk00L,358,626,15404,False
GemiSuny,1341,621,116178,False
andresbsc1993,353,17,173,False
nicoleev11,404,458,3040,False
MaarcoLoza,260,579,40364,False
easytravelgye,667,86,841,False
INSOBELSA,443,336,4632,False
titimateo,165,169,2359,False
GabrielaChirib2,51,58,26,False
flakarensinha,318,240,439,False
jamolestina,1676,43332,10084,False
CatyYadira,913,255,5299,False
echamaquito,175,256,28,False
vpricas,266,72,3635,False
Xavierpava,1342,229,3882,False
ringomb,452,430,1833,False
LuisOrqueraChun,79,11,1170,False
dieandrade1991,1235,317,3799,False
pedroa8a,385,162,711,False
Gonzalojparedes,42,403,5554,False
anibalarro,71,58,6,False
pedrockec,2238,491,508,False
manucoazul80,869,178,8794,False
el_audiman,222489,533433,3123,False
albertose94,724,207,2172,False
mariojacomep,199,98,3228,False
PERRILLASec,1130,10042,2418,False
fercevest,113,58,106,False
ElCallejero_,1380,1211,7870,False
CarlosCobosM_06,850,138,884,False
willy2ec,399,675,16893,False
LorenaOrralaV,152,119,66,False
AguileraRiosDan,86,1632,2348,False
LuisEduJacome,835,4277,1840,False
ChinitaMantilla,564,3646,8027,False
vallovig,413,1204,5653,False
enzo_sgaravatti,764,2017,9763,False
DanielBarrZ,568,246,1571,False
xatoreka,264,77,9668,False
_AngeloVasquez1,395,666,711,False
humbertoemilio_,561,1440,11506,False
ravsjr,772,227,42755,False
PatOh_sav,8,840,33492,False
aarevalomorales,809,468,2387,False
JackelineA58,937,180,6561,False
stefibtancourt,734,378,4011,False
anagi_mantilla,88,2608,685,False
fabriziodz26,349,260,195,False
Panchito10_BSC,964,905,1025,False
acede92,297,343,2989,False
